股票代码,股票简称,最新价,最新涨跌幅,竞价涨幅[20260416],p_open,p_close,chg_pct,涨跌幅:前复权排名[20260416],p_high,p_low,竞价匹配价[20260416],竞价异动类型[20260416],竞价异动说明[20260416],集合竞价评级[20260416],竞价量[20260416],竞价金额[20260416],竞价未匹配量[20260416],竞价未匹配金额[20260416],开盘价:前复权[20260416],最高价:前复权[20260416],最低价:前复权[20260416],收盘价:前复权[20260416],振幅[20260416],成交量[20260416],market_code,code,date
001367.SZ,海森药业,23.7,-0.04217629692113692,0.887,26.15,27.4,5.70987654,277/5521,28,25.71,26.15,竞价抢筹,单笔放量10%以上抢筹,看多,107700,2816355.0,-800,-20920.0,26.15,28,25.71,27.4,8.834876,1.0110884E7,33,001367,20260416
300608.SZ,思特奇,13.44,0.0744601638123588,0.158,12.65,13.35,5.70071259,279/5521,13.61,12.6,12.65,,,,71400,903210.0,-300,-3795.0,12.65,13.61,12.6,13.35,7.996832,2.8086197E7,33,300608,20260416
002466.SZ,天齐锂业,80.03,5.971927966101702,1.214,62.55,65.32,5.69579288,282/5521,66.66,62,62.55,竞价抢筹,单笔放量10%以上抢筹,看多,424800,26571240.0,-3500,-218925.0,62.55,66.66,62,65.32,7.540453,9.174796E7,33,002466,20260416
600251.SH,冠农股份,12.95,1.8882769472855894,0.184,10.92,11.52,5.68807339,283/5521,11.65,10.86,10.92,,,,10300,112476.0,-100,-1092.0,10.92,11.65,10.86,11.52,7.247706,1.7241145E7,17,600251,20260416
000807.SZ,云铝股份,31.8,-3.9855072463768018,1.857,35.1,36.42,5.68775392,284/5521,36.49,35.08,35.1,大买单试盘,大买单试盘857万元,-,479200,16819920.0,-1404,-49280.4,35.1,36.49,35.08,36.42,4.0917,6.1331792E7,33,000807,20260416
600094.SH,大名城,4.71,-0.4228329809725256,0.434,4.63,4.87,5.63991323,286/5521,4.95,4.53,4.63,,,,17100,79173.0,800,3704.0,4.63,4.95,4.53,4.87,9.110629,5.1503782E7,17,600094,20260416
300986.SZ,志特新材,22.8,-0.5235602094240881,1.808,24.22,25.13,5.63261875,289/5521,25.7,23.8,24.22,竞价抢筹,单笔放量10%以上抢筹,看多,317469,7689099.2,9631,233262.82,24.22,25.7,23.8,25.13,7.986548,5.0348408E7,33,300986,20260416
688150.SH,莱特光电,52.66,2.891754591637352,0.064,46.95,49.56,5.62659847,290/5521,49.94,46.68,46.95,,,,52640,2471448.0,389,18263.55,46.95,49.94,46.68,49.56,6.947996,1.2073752E7,17,688150,20260416
000636.SZ,风华高科,25.09,-0.7515822784810177,0.095,21.06,22.22,5.60836502,292/5521,22.4,21.04,21.06,竞价抢筹,单笔放量10%以上抢筹,看多,566200,11924172.0,-200,-4212.0,21.06,22.4,21.04,22.22,6.463878,9.2254137E7,33,000636,20260416
688692.SH,达梦数据,263.73,2.5588178106163877,0.529,235.84,247.75,5.60528559,293/5521,250.55,234.8,235.84,,,,900,212256.0,-100,-23584.0,235.84,250.55,234.8,247.75,6.713554,2161495,17,688692,20260416
002998.SZ,优彩资源,9.52,0.5279831045406435,0.683,8.84,9.27,5.5808656,297/5521,9.33,8.75,8.84,,,,59000,521560.0,-4200,-37128.0,8.84,9.33,8.75,9.27,6.605922,1.6225791E7,33,002998,20260416
000409.SZ,云鼎科技,10.16,0.2961500493583352,0.283,10.62,11.18,5.57129367,298/5521,11.23,10.58,10.62,,,,38300,406746.0,18100,192222.0,10.62,11.23,10.58,11.18,6.137865,1.7830157E7,33,000409,20260416
