股票代码,股票简称,最新价,chg_pct,分时买二量[20260417 09:15],{(}分时买二量[20260417 09:15]{*}100.0{)},自由流通股[20260417],yedan_pct,分时买一量[20260430 09:25],{(}分时买一量[20260430 09:25]{*}100.0{)},自由流通股[20260430],open_seal_pct,分时涨跌幅:前复权[20260430 09:25],涨停次数[20260428-20260430],涨停次数排名[20260428-20260430],区间成交额[20260428-20260430],区间振幅[20260428-20260430],分时买三量[20260417 09:15],分时买四量[20260417 09:15],分时买五量[20260417 09:15],分时成交量[20260430 09:25],分时成交额[20260430 09:25],分时换手率[20260430 09:25],分时收盘价:不复权[20260430 09:25],分时买三量[20260430 09:25],分时买四量[20260430 09:25],分时买五量[20260430 09:25],market_code,code,date
600488.SH,津药药业,5.7,-2.730375426621163,23600.0,2360000,479150231,0.004925386334625392,37800.0,3780000.0,479150231,0.007888966247832196,0.17064846416381396,1,38/248,2100300024.0,13.167259786476857,0.0,0.0,0.0,1994100,11705367.0,0.1826288420333143,5.87,25400.0,308800.0,61000.0,17,600488,20260417
600623.SH,华谊集团,10.88,0.18416206261511373,8400.0,840000,649844001,0.001292617918619518,176300.0,17630000.0,649844001,0.027129587982454885,0.0,1,38/248,1338537921.0,11.597151576805704,0.0,0.0,0.0,259700,2820342.0,0.01384302728685141,10.86,3000.0,200.0,90400.0,17,600623,20260417
601101.SH,昊华能源,11.69,6.855575868372943,4300.0,430000,528384382,0.0008138014949881694,18556.0,1855600.0,528384382,0.003511837335116389,-1.7367458866544783,1,38/248,2356641171.0,21.03134479271992,0.0,0.0,0.0,645044,6934223.0,0.04479478673915812,10.75,2100.0,11600.0,23400.0,17,601101,20260417
601828.SH,美凯龙,2.67,2.692307692307686,146100.0,14610000,1483764359,0.009846576992755492,551100.0,55110000.0,1483327199,0.03715296263504975,0.38461538461538325,1,38/248,698923642.0,7.755102040816324,0.0,0.0,0.0,2893400,7551774.0,0.08009628520219728,2.61,134600.0,80900.0,579200.0,17,601828,20260417
603215.SH,比依股份,18.29,-8.550000000000004,1900.0,190000,71032530,0.002674830813431536,627100.0,62710000.0,71032530,0.8828349490015349,-9.999999999999998,1,38/248,932390145.0,20.891089108910887,0.0,0.0,0.0,1512300,27221400.0,0.807730110146763,18.0,0.0,0.0,0.0,17,603215,20260417
603283.SH,赛腾股份,53.83,0.05576208178438873,2200.0,220000,172740815,0.0012735843581610981,300.0,30000.0,172740815,0.0001736705942946952,0.33457249070631967,1,38/248,3014576871.0,5.533199195171026,0.0,0.0,0.0,106500,5748870.0,0.03927367190058349,53.98,800.0,200.0,900.0,17,603283,20260417
603338.SH,浙江鼎力,55.12,-4.965517241379314,11500.0,1150000,221194099,0.0051990537053160715,13300.0,1330000.0,221194099,0.006012818633104674,-0.5000000000000004,1,38/248,2274383170.0,9.104938271604937,0.0,0.0,0.0,90800,5240068.0,0.017932335409269088,57.71,300.0,300.0,3700.0,17,603338,20260417
603779.SH,威龙股份,7.45,7.194244604316546,2200.0,220000,221582560,0.0009928579216703698,92900.0,9290000.0,221582560,0.04192568223780788,2.0143884892086295,1,38/248,758538296.0,18.43750000000001,0.0,0.0,0.0,529600,3754864.0,0.15947832087660896,7.09,11200.0,900.0,7800.0,17,603779,20260417
603813.SH,*ST原尚,37.0,1.36986301369863,9600.0,960000,36812000,0.02607845267847441,4500.0,450000.0,36812000,0.01222427469303488,-2.73972602739726,1,38/248,159982380.0,9.802800800228635,0.0,0.0,0.0,24000,852000.0,0.022853878017426082,35.5,3300.0,600.0,28900.0,22,603813,20260417
603931.SH,格林达,38.82,-0.9441183975503891,500.0,50000,103967115,0.000480921299008826,1500.0,150000.0,103967115,0.001442763897026478,-2.2965042102577105,1,38/248,2173270778.0,17.7835799245721,0.0,0.0,0.0,347100,13290459.0,0.17393406380629067,38.29,200.0,100.0,1000.0,17,603931,20260417
