股票代码,股票简称,最新价,最新涨跌幅,p_925,p_open,p_close,chg_pct,涨跌幅:前复权排名[20260410],p_high,p_low,p_high,p_low,分时开盘价:不复权[20260430 09:25],分时最高价:不复权[20260430 09:25],分时最低价:不复权[20260430 09:25],分时振幅[20260430 09:25],开盘价:前复权[20260410],最高价:前复权[20260410],最低价:前复权[20260410],收盘价:前复权[20260410],振幅[20260410],成交量[20260410],market_code,code,date
002177.SZ,御银股份,7.47,0.4032258064516043,7.45,7.45,8.16,9.97304582,76/5521,7.53,7.38,8.16,7.42,7.45,7.45,7.45,0,7.47,8.16,7.42,8.16,9.973045,1.51078708E8,33,002177,20260410
605069.SH,正和生态,14.19,-1.9350380096751978,14.41,14.41,12.36,9.96441281,77/5521,14.7,14.19,12.36,11.32,14.41,14.41,14.41,0,11.46,12.36,11.32,12.36,9.252669,6911560,17,605069,20260410
603101.SH,汇嘉时代,11.06,0.2719854941069913,11.0,11,8.83,9.9626401,78/5521,11.28,10.86,8.83,8.05,11.0,11.0,11.0,0,8.05,8.83,8.05,8.83,9.713574,2.1219838E7,17,603101,20260410
000626.SZ,远大控股,9.35,1.6304347826086996,9.19,9.19,8.61,9.96168582,79/5521,9.6,9.16,8.61,8.61,9.19,9.19,9.19,0,8.61,8.61,8.61,8.61,0,9666300,33,000626,20260410
600743.SH,华远控股,2.47,2.9166666666666785,2.38,2.38,2.65,9.95850622,80/5521,2.53,2.36,2.65,2.52,2.38,2.38,2.38,0,2.59,2.65,2.52,2.65,5.39419,1.6344527E8,17,600743,20260410
600876.SH,凯盛新能,9.43,-5.0352467270896275,9.74,9.74,9.94,9.95575221,81/5521,9.85,9.27,9.94,9.11,9.74,9.74,9.74,0,9.11,9.94,9.11,9.94,9.181415,9732518,17,600876,20260410
000402.SZ,金融街,3.17,10.069444444444446,3.11,3.11,2.78,9.88142292,82/5521,3.17,3.02,2.78,2.63,3.11,3.11,3.11,0,2.63,2.78,2.63,2.78,5.928853,6.2890766E7,33,000402,20260410
603459.SH,红板科技,61.73,0.016202203499672732,62.63,62.63,55.08,9.56833101,83/5521,64,61.15,57.76,51.5,62.63,62.63,62.63,0,52,57.76,51.5,55.08,12.452755,5.0547735E7,17,603459,20260410
301197.SZ,工大科雅,30.35,0.29742233972240534,30.2,30.2,26.02,9.55789474,84/5521,30.98,29.35,27.98,25.58,30.2,30.2,30.2,0,27.04,27.98,25.58,26.02,10.105263,1.7354719E7,33,301197,20260410
688275.SH,万润新能,154.77,-5.0490797546012205,170.14,170.14,124.51,9.48821667,85/5521,180,153.59,125.79,112.89,170.14,170.14,170.14,0,114.7,125.79,112.89,124.51,11.343651,8641380,17,688275,20260410
920779.BJ,武汉蓝电,32.3,-4.26793123888561,33.28,33.28,35.2,9.41871309,86/5521,33.63,31.82,37.8,32.28,33.28,33.28,33.28,0,31.58,37.1,31.58,34.5,17.158843,3627984,151,920779,20260410
