股票代码,股票简称,最新价,最新涨跌幅,竞价涨幅[20260414],分时开盘价:不复权[20260414 09:25],p_925,chg_pct,分时涨跌幅:前复权排名[20260414 09:25],分时最高价:不复权[20260414 09:25],分时最低价:不复权[20260414 09:25],分时振幅[20260414 09:25],竞价匹配价[20260414],竞价异动类型[20260414],竞价异动说明[20260414],集合竞价评级[20260414],竞价量[20260414],竞价金额[20260414],竞价未匹配量[20260414],竞价未匹配金额[20260414],分时成交量[20260414 09:25],分时成交额[20260414 09:25],分时换手率[20260414 09:25],market_code,code,date
688556.SH,高测股份,13.37,1.67300380228136,1.006,13.05,13.05,1.006191950464408,1336/5521,13.05,13.05,0,13.05,,,,45519,594022.95,-10678,-139347.9,45519,594023.0,0.005479107870035797,17,688556,20260414
002605.SZ,姚记科技,20.49,5.076923076923069,1.006,21.09,21.09,1.0057471264367956,1337/5521,21.09,21.09,0,21.09,,,,20600,434454.0,-12000,-253080.0,20600,434454.0,0.006108016343296422,33,002605,20260414
301606.SZ,绿联科技,75.78,1.3643659711075387,1.006,75.33,75.33,1.0056315366049784,1338/5521,75.33,75.33,0,75.33,,,,13600,1024488.0,900,67797.0,13600,1024488.0,0.00824248433762823,33,301606,20260414
688621.SH,阳光诺和,57.68,-1.5027322404371628,1.006,66.3,66.3,1.0054844606946833,1339/5521,66.3,66.3,0,66.3,,,,1318,87383.4,682,45216.6,1318,87383.4,0.0011767857142857142,17,688621,20260414
688486.SH,龙迅股份,79.64,-0.4499999999999993,1.005,65.3,65.3,1.0054137664346374,1340/5521,65.3,65.3,0,65.3,,,,40702,2657840.6,879,57398.7,40702,2657840.6,0.03052964432439308,17,688486,20260414
300968.SZ,格林精密,11.79,0.9417808219178033,1.005,12.06,12.06,1.005025125628145,1341/5521,12.06,12.06,0,12.06,,,,6200,74772.0,-900,-10854.0,6200,74772.0,0.0014998306642798394,33,300968,20260414
600528.SH,中铁工业,7.79,0.0,1.005,8.04,8.04,1.0050251256281229,1342/5521,8.04,8.04,0,8.04,,,,137100,1102284.0,-13600,-109344.0,137100,1102284.0,0.0061713624270786005,17,600528,20260414
600406.SH,国电南瑞,25.97,-2.4417731029301355,1.004,26.15,26.15,1.0042487446890513,1343/5521,26.15,26.15,0,26.15,,,,789300,20640195.0,-4100,-107215.0,789300,20640195.0,0.009856176787735354,17,600406,20260414
300700.SZ,岱勒新材,17.36,3.210463733650411,1.004,15.09,15.09,1.0040160642570406,1344/5521,15.09,15.09,0,15.09,,,,64600,974814.0,-1200,-18108.0,64600,974814.0,0.0238719621177533,33,300700,20260414
000603.SZ,盛达资源,36.48,-2.720000000000008,1.004,41.25,41.25,1.0039177277179068,1345/5521,41.25,41.25,0,41.25,,,,61100,2520375.0,6700,276375.0,61100,2520375.0,0.009164316905564334,33,000603,20260414
300786.SZ,国林科技,16.38,2.2471910112359517,1.003,15.1,15.1,1.0033444816053505,1346/5521,15.1,15.1,0,15.1,,,,245800,3711580.0,219100,3308410.0,245800,3711580.0,0.16796820499916704,33,300786,20260414
300240.SZ,飞力达,6.94,0.14430014430015406,1.003,7.05,7.05,1.0028653295128809,1347/5521,7.05,7.05,0,7.05,,,,25800,181890.0,-19000,-133950.0,25800,181890.0,0.007100027406931375,33,300240,20260414
002683.SZ,广东宏大,36.32,-0.6292749658002651,1.002,42.34,42.34,1.0019083969465603,1348/5521,42.34,42.34,0,42.34,,,,77600,3285584.0,-600,-25404.0,77600,3285584.0,0.011641878120166796,33,002683,20260414
300811.SZ,铂科新材,96.61,6.857648490211263,1.0,83.8,83.8,1.0003615764734297,1349/5521,83.8,83.8,0,83.8,,,,13900,1164820.0,800,67040.0,13900,1164820.0,0.005849467152679114,33,300811,20260414
605177.SH,东亚药业,20.92,-0.8060692271218499,1.0,20.2,20.2,1.0000000000000009,1350/5521,20.2,20.2,0,20.2,,,,8400,169680.0,-2300,-46460.0,8400,169680.0,0.007461078352141261,17,605177,20260414
600067.SH,冠城新材,3.64,-9.677419354838712,1.0,4.04,4.04,1.0000000000000009,1350/5521,4.04,4.04,0,4.04,,,,50600,204424.0,-800,-3232.0,50600,204424.0,0.003635922729453507,17,600067,20260414
600981.SH,苏豪汇鸿,2.85,-0.3496503496503422,1.0,3.03,3.03,1.0000000000000009,1350/5521,3.03,3.03,0,3.03,,,,294400,892032.0,-24100,-73023.0,294400,892032.0,0.01312859625206618,17,600981,20260414
603515.SH,欧普照明,20.26,-1.0742187499999944,0.999,19.21,19.21,0.9989484752891853,1353/5521,19.21,19.21,0,19.21,,,,10900,209389.0,-2100,-40341.0,10900,209389.0,0.001480318414969999,17,603515,20260414
