股票代码,股票简称,p_close,p_open,涨跌幅:前复权[20260430],p_high,区间最低价:前复权[20000104-20001229],区间最低价:前复权日[20000104-20001229],区间最低价:前复权排名[20000104-20001229],p_low,区间最高价:前复权[20000104-20001229],区间最高价:前复权日[20000104-20001229],开盘价:前复权[20260430],最高价:前复权[20260430],最低价:前复权[20260430],收盘价:前复权[20260430],振幅[20260430],成交量[20260430],market_code,code,date
600765.SH,中航重机,15.95,15.67,1.98209719,16.08,0.17894106,20000124,696/870,15.67,1.83645022,20001222,15.67,16.08,15.67,15.95,2.621483,1.9938928E7,17,600765,20260430
000001.SZ,平安银行,11.49,11.5,-0.26041667,11.6,0.17784015,20001226,697/870,11.46,1.01250896,20000110,11.5,11.6,11.46,11.49,1.215277,1.13924162E8,33,000001,20260430
600673.SH,东阳光,35.4,33.1,6.81955341,35.95,0.15404274,20000118,698/870,32.88,1.416151,20001214,33.1,35.95,32.88,35.4,9.263729,9.6767724E7,17,600673,20260430
000617.SZ,中油资本,9.44,9.49,-0.52687039,9.54,0.1148564,20000117,699/870,9.39,2.29064669,20001205,9.49,9.54,9.39,9.44,1.580611,1.32678958E8,33,000617,20260430
600006.SH,东风股份,6.71,6.7,-0.29717682,6.75,0.11414511,20000124,700/870,6.66,1.38106241,20001201,6.7,6.75,6.66,6.71,1.337295,1.737386E7,17,600006,20260430
600650.SH,锦江在线,12.49,12.5,0.40192926,12.65,0.11003704,20000127,701/870,12.41,5.93495286,20001208,12.5,12.65,12.41,12.49,1.92926,2814841,17,600650,20260430
600850.SH,电科数字,19.34,19.35,-2.81407035,19.56,0.08828782,20000118,702/870,18.61,4.816455,20001221,19.35,19.56,18.61,19.34,4.773869,1.6764434E7,17,600850,20260430
600675.SH,中华企业,2.58,2.57,0.78125,2.61,0.08108144,20000104,703/870,2.55,1.20521451,20001211,2.57,2.61,2.55,2.58,2.34375,3.1450586E7,17,600675,20260430
000531.SZ,穗恒运A,7.05,7.27,-3.15934066,7.31,0.063,20000104,704/870,7.02,2.26375758,20000128,7.27,7.31,7.02,7.05,3.983516,3.0682341E7,33,000531,20260430
600816.SH,建元信托,2.94,2.78,6.52173913,3.04,0.03991841,20000106,705/870,2.77,0.68094406,20001218,2.78,3.04,2.77,2.94,9.782608,3.10471592E8,17,600816,20260430
000088.SZ,盐田港,4.53,4.52,0,4.54,0.02839903,20000124,706/870,4.49,1.13463586,20001205,4.52,4.54,4.49,4.53,1.103752,2.0180838E7,33,000088,20260430
601607.SH,上海医药,17.09,17,0.94506793,17.12,0.0159416,20000104,707/870,16.92,3.43118376,20001205,17,17.12,16.92,17.09,1.181334,1.1285735E7,17,601607,20260430
600182.SH,S佳通,14.54,14.75,-2.67737617,14.82,0.008,20000125,708/870,14.49,4.528,20001206,14.75,14.82,14.49,14.54,2.208835,2909671,17,600182,20260430
000731.SZ,四川美丰,7.24,7.33,-0.68587106,7.43,-0.01065389,20000104,709/870,7.21,1.89287369,20001204,7.33,7.43,7.21,7.24,3.017832,1.1709006E7,33,000731,20260430
000630.SZ,铜陵有色,6.15,6.29,-2.8436019,6.33,-0.05207186,20000104,710/870,6.1,0.24932073,20001206,6.29,6.33,6.1,6.15,3.633491,2.63964473E8,33,000630,20260430
600195.SH,中牧股份,7.52,7.5,-0.92226614,7.53,-0.07544515,20000104,711/870,7.35,1.72768407,20001204,7.5,7.53,7.35,7.52,2.371541,1.207485E7,17,600195,20260430
000800.SZ,一汽解放,6.73,7.03,-4.26742532,7.05,-0.07907519,20000128,712/870,6.71,1.56002256,20001205,7.03,7.05,6.71,6.73,4.836415,3.3437022E7,33,000800,20260430
600808.SH,马钢股份,3.87,3.89,-0.76923077,3.9,-0.09634328,20000104,713/870,3.81,1.19470149,20001205,3.89,3.9,3.81,3.87,2.307692,4.0528268E7,17,600808,20260430
000700.SZ,模塑科技,12.04,11.52,6.17283951,12.27,-0.11113333,20000117,714/870,11.51,1.85553333,20001225,11.52,12.27,11.51,12.04,6.70194,6.4838914E7,33,000700,20260430
000828.SZ,东莞控股,10.38,10.42,-0.38387716,10.44,-0.11646111,20000104,715/870,10.28,5.92173333,20001221,10.42,10.44,10.28,10.38,1.535508,5619587,33,000828,20260430
600688.SH,上海石化,3.11,3.02,6.87285223,3.17,-0.12333333,20000104,716/870,3.01,0.54333333,20001201,3.02,3.17,3.01,3.11,5.498281,1.82669261E8,17,600688,20260430
000811.SZ,冰轮环境,24.95,24.46,1.29922858,25.37,-0.14082984,20000117,717/870,24.16,0.717492,20001218,24.46,25.37,24.16,24.95,4.912708,4.2911623E7,33,000811,20260430
001914.SZ,招商积余,10.25,10.35,-1.25240848,10.38,-0.14676407,20000124,718/870,10.21,2.10708209,20001221,10.35,10.38,10.21,10.25,1.637764,7667567,33,001914,20260430
600266.SH,城建发展,5.14,5.06,5.54414784,5.24,-0.17308061,20000114,719/870,5.01,2.15607458,20001205,5.06,5.24,5.01,5.14,4.722792,8.1426991E7,17,600266,20260430
600864.SH,哈投股份,6.11,6.19,-2.24,6.29,-0.176,20000105,720/870,6.1,3.96438462,20001204,6.19,6.29,6.1,6.11,3.04,7.2888463E7,17,600864,20260430
600067.SH,冠城新材,3.64,3.9,-9.67741935,3.9,-0.20150868,20000104,721/870,3.63,0.50535894,20001204,3.9,3.9,3.63,3.64,6.699751,7.6003626E7,17,600067,20260430
000718.SZ,苏宁环球,2.19,2.15,1.86046512,2.2,-0.21755632,20000104,722/870,2.13,0.55020381,20001201,2.15,2.2,2.13,2.19,3.255813,5.1659609E7,33,000718,20260430
