序号,代码,名称,市场代码简称,最新价(元) 2026.04.30,涨跌幅(%) 2026.04.30,涨停 2026.04.30,涨停首次封板时间 2026.04.30,涨停封单额(元) 2026.04.30,涨停封单量(股) 2026.04.30,首板 2026.04.30,涨跌额(元) 2026.04.30,最高价(元) 2026.04.30,最低价(元) 2026.04.30,换手率(%) 2026.04.30,量比 2026.04.30,成交量(股) 2026.04.30,成交额(元) 2026.04.30,市盈率(动)(倍) 2026.04.30,市净率(倍) 2026.04.30,总市值(元) 2026.04.30,流通市值(元) 2026.04.30,CHOICE_INNER_CODE,IN_OPTIONAL
77,001316,润贝航科,SZ,51.90,10.00,涨停,09:30:36,9467.08万,182.41万,首板,4.720,51.90,50.58,2.48,1.24,276.28万,1.43亿,24.64,4.3801,59.74亿,57.76亿,1002686340,False
78,600379,宝光股份,SH,16.78,10.03,涨停,09:30:11,1.55亿,921.56万,-,1.530,16.78,16.48,13.28,1.37,4383.44万,7.34亿,150.20,7.0372,55.41亿,55.41亿,1000001001,False
79,002805,丰元股份,SZ,22.85,10.01,涨停,09:30:09,9162.25万,400.97万,-,2.080,22.85,22.22,4.68,0.62,1304.26万,2.97亿,20.80,6.8433,63.99亿,63.71亿,1000011552,False
80,603030,全筑股份,SH,2.65,9.96,涨停,09:30:01,2183.41万,823.93万,首板,0.240,2.65,2.62,3.27,0.89,4312.86万,1.14亿,388.21,4.9916,34.90亿,34.90亿,1000305039,False
81,000838,*ST发展,SZ,1.95,4.84,涨停,09:30:00,2125.95万,1090.23万,首板,0.090,1.95,1.92,1.61,0.22,1700.87万,3306.89万,-37.22,-10.0022,21.46亿,20.55亿,1000009218,False
82,002640,跨境通,SZ,3.65,9.94,涨停,09:30:00,9637.31万,2640.36万,首板,0.330,3.65,3.64,4.55,1.87,7048.10万,2.57亿,9.04,8.8307,56.87亿,56.51亿,1000008073,False
83,300632,光莆股份,SZ,24.47,20.01,涨停,09:30:00,6711.13万,274.26万,-,4.080,24.47,24.00,16.65,1.86,3682.78万,9.01亿,2211.95,4.3112,74.68亿,54.13亿,1000506155,False
84,000553,安道麦A,SZ,6.82,10.00,涨停,09:25:00,1841.89万,270.07万,首板,0.620,6.82,6.82,0.55,1.53,1205.62万,8222.32万,6.98,0.8869,158.89亿,148.48亿,1000002318,False
85,000609,*ST中迪,SZ,14.42,5.03,涨停,09:25:00,1.04亿,721.85万,-,0.690,14.42,14.42,1.01,2.61,293.67万,4234.72万,-24.93,-13.5698,43.15亿,41.97亿,1000004168,False
86,001218,丽臣实业,SZ,27.63,9.99,涨停,09:25:00,4619.49万,167.19万,首板,2.510,27.63,27.63,2.12,0.91,249.99万,6907.20万,11.65,1.4852,35.97亿,32.62亿,1000717176,False
87,002289,*ST宇顺,SZ,36.56,5.00,涨停,09:25:00,2535.75万,69.36万,-,1.740,36.56,36.56,0.16,0.14,42.66万,1559.70万,52.00,38.6173,102.46亿,100.33亿,1000007936,False
88,002591,恒大高新,SZ,8.36,10.00,涨停,09:25:00,3136.34万,375.16万,首板,0.760,8.36,8.06,9.62,1.87,2149.79万,1.79亿,100.92,3.9233,25.10亿,18.69亿,1000007966,False
89,002856,*ST美芝,SZ,13.78,5.03,涨停,09:25:00,1.10亿,797.14万,首板,0.660,13.78,13.78,3.92,0.51,485.68万,6692.68万,-187.50,-36.6400,18.65亿,17.07亿,1000317654,False
90,600381,*ST春天,SH,3.59,4.97,涨停,09:25:00,4142.61万,1153.93万,-,0.170,3.59,3.59,0.19,0.09,109.27万,392.28万,-32.37,2.1529,21.08亿,21.08亿,1000001004,False
91,600730,*ST高科,SH,8.97,5.04,涨停,09:25:00,8806.21万,981.74万,-,0.430,8.97,8.97,0.30,0.07,178.48万,1600.97万,-682.72,3.1374,52.62亿,52.62亿,1000002137,False
92,603045,福达合金,SH,46.68,9.99,涨停,09:25:00,1.35亿,288.20万,首板,4.240,46.68,46.68,1.79,0.29,243.07万,1.13亿,8.73,5.0465,63.23亿,63.23亿,1000734410,False
93,603095,越剑智能,SH,25.37,10.02,涨停,09:25:00,1.43亿,564.82万,-,2.310,25.37,25.37,1.46,0.36,376.12万,9542.22万,115.22,2.8032,65.52亿,65.52亿,1001819986,False
94,603272,*ST联翔,SH,26.80,5.02,涨停,09:25:00,5769.02万,215.26万,-,1.280,26.80,26.80,0.30,0.03,31.43万,842.27万,-124.49,5.1543,27.77亿,27.77亿,1002681076,False
95,603398,*ST沐邦,SH,12.45,4.97,涨停,09:25:00,2705.65万,217.32万,首板,0.590,12.45,12.45,0.55,0.26,240.34万,2992.21万,-18.17,75.4752,53.99亿,53.99亿,1000325842,False
96,603399,永杉锂业,SH,19.39,9.98,涨停,09:25:00,2.02亿,1041.52万,-,1.760,19.39,19.39,1.70,0.14,869.03万,1.69亿,18.74,6.1339,99.33亿,99.33亿,1000010300,False
97,603580,*ST艾艾,SH,21.21,5.00,涨停,09:25:00,3996.80万,188.44万,首板,1.010,21.21,21.21,0.20,0.13,26.20万,555.72万,248.35,6.0904,27.72亿,27.72亿,1000450254,False
98,603843,*ST正平,SH,8.97,5.04,涨停,09:25:00,9162.82万,1021.50万,-,0.430,8.97,8.97,0.20,0.06,140.26万,1258.17万,-60.08,243.6134,62.76亿,62.76亿,1000303914,False
